Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Cascade Natural Gas Corporation LDC - statewide,2018,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,,,,23973,0,115,23858,0,0,0,0,0,,1,,
Cascade Natural Gas Corporation LDC - statewide,2017,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,,,,26227,0,116,26111,0,0,0,0,0,,2,,
NW Natural LDC - WA - statewide,2017,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,,,8183,0,10,8173,0,0,0,0,0,Last year reporting.,1,,
Graymont Western US. Inc. - Tacoma,2016,Minerals,Lime Manufacturing,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,42728,0,42658,26,44,0,0,0,0,,2,"(47.271365, -122.397262)",POINT (-122.39726200000001 47.271365)
Cosmo Specialty Fibers Inc - Cosmopolis,2014,Pulp and Paper,Sulfite Mills,322110,Pulp Mills,Gores Group,Cosmopolis,Grays Harbor,Ecology: Industrial Section,1185707,1152820,23988,5650,3248,0,0,0,0,,4,"(46.952907, -123.76211)",POINT (-123.76211 46.952907)
NW Natural LDC - WA - statewide,2014,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,,,7769,0,9,7760,0,0,0,0,0,,1,,
Cascade Natural Gas Corporation LDC - statewide,2013,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,,,,12940,0,70,12870,0,0,0,0,0,,1,,
Puget Sound Energy LDC - statewide,2012,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Sound Energy,,,,61475,0,76,61400,0,0,0,0,0,,2,,
Puget Sound Energy T&D - statewide,2012,Power Plants,Use of Electrical Equipment,221122,Electric Power Distribution,Puget Sound Energy,Bellevue,,,12271,0,0,0,0,0,0,12271,0,,1,,
CHS Inc.,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,4247,Petroleum and Petroleum Products Merchant Wholesalers,CHS Inc,,,,1228254,0,1228254,,,,,,,,,,
Alcoa Intalco Works - Ferndale,2015,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1195786,0,418042,10480,34,0,767230,0,0,PFC emissions based on old source test information.,4,"(48.8455, -122.7055)",POINT (-122.70549999999999 48.8455)
Easterday Ranches North Feedlot - Eltopia,2014,Food Production,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,14416,0,867,1035,12513,0,0,0,0,,1,"(46.50919, -118.881203)",POINT (-118.88120300000001 46.50919)
Puget Sound Energy - Goldendale Generating Station - Goldendale,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Goldendale,Klickitat,Ecology: Central Regional Office,729130,0,728390,338,403,0,0,0,0,,3,"(45.8114, -120.833)",POINT (-120.833 45.8114)
HollyFrontier Refining & Marketing LLC,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,HollyFrontier Corporation,,,,0,0,0,,,,,,,Last year reporting.,,,
Northwest Hardwoods Inc. - Longview,2013,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Longview,Cowlitz,Southwest Clean Air Agency,14936,9533,5270,21,112,0,0,0,0,,1,"(46.114537, -122.916806)",POINT (-122.91680600000001 46.114537)
Terrace Heights Landfill - Yakima,2014,Waste,Municipal Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,107008,0,29,106980,0,0,0,0,0,,3,"(46.610031, -120.39408)",POINT (-120.39407999999999 46.610031000000006)
United Parcel Service Co,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,UPS Inc.,,,,50052,0,50052,,,,,,,,,,
HollyFrontier Refining & Marketing LLC,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,HollyFrontier Corporation,,,,10747,742,10005,,,,,,,First year reporting.,,,
WestRock LLC - Longview,2015,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Kapstone Paper & Packaging Corp,Longview,Cowlitz,Ecology: Industrial Section,1708673,1565833,135500,1387,5954,0,0,0,0,,4,"(46.10361, -122.92167)",POINT (-122.92167 46.10361)
Green Plains Trade Group LLC,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,425120,Wholesale Trade Agents and Brokers,Green Plains Inc,,,,244808,244808,0,,,,,,,,,,
Northwest Hardwoods Inc. - Centralia,2013,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,12987,6470,6424,16,77,0,0,0,0,,1,"(46.734454, -122.991963)",POINT (-122.99196300000001 46.734454)
